call_id,condition_label,architecture,role,first_attempt_status,resolved_status,attempt_count,latency_ms,jsonl_integrity,agent_message_present
calibration-calibration-b01-medium-independent-s11,medium,independent,solver,semantic_response,semantic_response,1,125843,True,True
calibration-calibration-b01-medium-independent-s14,medium,independent,solver,semantic_response,semantic_response,1,112587,True,True
calibration-calibration-b01-medium-independent-s04,medium,independent,solver,semantic_response,semantic_response,1,118362,True,True
calibration-calibration-b01-medium-independent-s01,medium,independent,solver,semantic_response,semantic_response,1,161630,True,True
calibration-calibration-b01-medium-independent-s08,medium,independent,solver,semantic_response,semantic_response,1,145593,True,True
calibration-calibration-b01-medium-independent-s09,medium,independent,solver,semantic_response,semantic_response,1,153824,True,True
calibration-calibration-b01-medium-independent-s13,medium,independent,solver,semantic_response,semantic_response,1,162950,True,True
calibration-calibration-b01-medium-independent-s16,medium,independent,solver,semantic_response,semantic_response,1,141186,True,True
calibration-calibration-b01-medium-independent-s18,medium,independent,solver,semantic_response,semantic_response,1,135921,True,True
calibration-calibration-b01-medium-independent-s06,medium,independent,solver,semantic_response,semantic_response,1,124507,True,True
calibration-calibration-b01-medium-independent-s05,medium,independent,solver,semantic_response,semantic_response,1,147744,True,True
calibration-calibration-b01-medium-independent-s15,medium,independent,solver,semantic_response,semantic_response,1,161206,True,True
calibration-calibration-b01-medium-independent-s19,medium,independent,solver,semantic_response,semantic_response,1,141556,True,True
calibration-calibration-b01-medium-independent-s10,medium,independent,solver,semantic_response,semantic_response,1,169779,True,True
calibration-calibration-b01-medium-independent-s07,medium,independent,solver,semantic_response,semantic_response,1,124604,True,True
calibration-calibration-b01-medium-independent-s03,medium,independent,solver,semantic_response,semantic_response,1,134364,True,True
calibration-calibration-b01-medium-independent-s12,medium,independent,solver,semantic_response,semantic_response,1,141135,True,True
calibration-calibration-b01-medium-independent-s17,medium,independent,solver,semantic_response,semantic_response,1,128480,True,True
calibration-calibration-b01-medium-independent-s02,medium,independent,solver,semantic_response,semantic_response,1,143925,True,True
calibration-calibration-b01-medium-independent-s20,medium,independent,solver,semantic_response,semantic_response,1,137786,True,True
