case_id,block,family,tier,truth,G-37B2621092D0.prediction,G-37B2621092D0.exact,G-37B2621092D0.term_accuracy,G-37B2621092D0.term_correct,G-37B2621092D0.format_compliant,G-37B2621092D0.proposal_plurality,G-37B2621092D0.proposal_plurality_exact,G-37B2621092D0.override,G-37B2621092D0.harmful_override,G-37B2621092D0.useful_override,G-37B2621092D0.terminal_job_id,G-37B2621092D0.completed_proposals,G-37B2621092D0.valid_proposals,G-37B2621092D0.calls,G-37B2621092D0.input_tokens,G-37B2621092D0.output_tokens,G-37B2621092D0.cost_usd,G-37B2621092D0.latency_ms,G-44EEB120C37E.prediction,G-44EEB120C37E.exact,G-44EEB120C37E.term_accuracy,G-44EEB120C37E.term_correct,G-44EEB120C37E.format_compliant,G-44EEB120C37E.proposal_plurality,G-44EEB120C37E.proposal_plurality_exact,G-44EEB120C37E.override,G-44EEB120C37E.harmful_override,G-44EEB120C37E.useful_override,G-44EEB120C37E.terminal_job_id,G-44EEB120C37E.completed_proposals,G-44EEB120C37E.valid_proposals,G-44EEB120C37E.calls,G-44EEB120C37E.input_tokens,G-44EEB120C37E.output_tokens,G-44EEB120C37E.cost_usd,G-44EEB120C37E.latency_ms,G-498E470E7808.prediction,G-498E470E7808.exact,G-498E470E7808.term_accuracy,G-498E470E7808.term_correct,G-498E470E7808.format_compliant,G-498E470E7808.proposal_plurality,G-498E470E7808.proposal_plurality_exact,G-498E470E7808.override,G-498E470E7808.harmful_override,G-498E470E7808.useful_override,G-498E470E7808.terminal_job_id,G-498E470E7808.completed_proposals,G-498E470E7808.valid_proposals,G-498E470E7808.calls,G-498E470E7808.input_tokens,G-498E470E7808.output_tokens,G-498E470E7808.cost_usd,G-498E470E7808.latency_ms,G-93B0BFCCF64A.prediction,G-93B0BFCCF64A.exact,G-93B0BFCCF64A.term_accuracy,G-93B0BFCCF64A.term_correct,G-93B0BFCCF64A.format_compliant,G-93B0BFCCF64A.proposal_plurality,G-93B0BFCCF64A.proposal_plurality_exact,G-93B0BFCCF64A.override,G-93B0BFCCF64A.harmful_override,G-93B0BFCCF64A.useful_override,G-93B0BFCCF64A.terminal_job_id,G-93B0BFCCF64A.completed_proposals,G-93B0BFCCF64A.valid_proposals,G-93B0BFCCF64A.calls,G-93B0BFCCF64A.input_tokens,G-93B0BFCCF64A.output_tokens,G-93B0BFCCF64A.cost_usd,G-93B0BFCCF64A.latency_ms,G-A13267BCF63C.prediction,G-A13267BCF63C.exact,G-A13267BCF63C.term_accuracy,G-A13267BCF63C.term_correct,G-A13267BCF63C.format_compliant,G-A13267BCF63C.proposal_plurality,G-A13267BCF63C.proposal_plurality_exact,G-A13267BCF63C.override,G-A13267BCF63C.harmful_override,G-A13267BCF63C.useful_override,G-A13267BCF63C.terminal_job_id,G-A13267BCF63C.completed_proposals,G-A13267BCF63C.valid_proposals,G-A13267BCF63C.calls,G-A13267BCF63C.input_tokens,G-A13267BCF63C.output_tokens,G-A13267BCF63C.cost_usd,G-A13267BCF63C.latency_ms,G-A51F73B64C32.prediction,G-A51F73B64C32.exact,G-A51F73B64C32.term_accuracy,G-A51F73B64C32.term_correct,G-A51F73B64C32.format_compliant,G-A51F73B64C32.proposal_plurality,G-A51F73B64C32.proposal_plurality_exact,G-A51F73B64C32.override,G-A51F73B64C32.harmful_override,G-A51F73B64C32.useful_override,G-A51F73B64C32.terminal_job_id,G-A51F73B64C32.completed_proposals,G-A51F73B64C32.valid_proposals,G-A51F73B64C32.calls,G-A51F73B64C32.input_tokens,G-A51F73B64C32.output_tokens,G-A51F73B64C32.cost_usd,G-A51F73B64C32.latency_ms
T01,training-b01,LAGPOLY,hard,"[""28"",""-4"",""32"",""-6"",""36""]","[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T02,training-b01,GROWBLOCK,hard,"[""7"",""4"",""1"",""18"",""15""]","[""7"",""4"",""21"",""18"",""15""]",0,0.8,4,1,"[""7"",""4"",""21"",""18"",""15""]",0,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""18"",""15"",""23"",""20"",""28""]",0,0.0,0,1,"[""10"",""7"",""24"",""21"",""18""]",0,1,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""7"",""4"",""1"",""-2"",""15""]",0,0.8,4,1,"[""27"",""24"",""21"",""41"",""38""]",0,1,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""7"",""4"",""1"",""18"",""15""]",1,1.0,5,1,"[""18"",""15"",""-1"",""23"",""20""]",0,1,0,1,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""-4"",""-7"",""10"",""7"",""4""]",0,0.0,0,1,"[""-4"",""-7"",""10"",""7"",""4""]",0,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""24"",""21"",""18"",""35"",""32""]",0,1,0,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T03,training-b01,GROWBLOCK,stress,"[""39"",""17"",""-5"",""-27"",""-49""]","[""32"",""10"",""-12"",""-34"",""-56""]",0,0.0,0,1,"[""32"",""10"",""-12"",""-34"",""-56""]",0,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""30"",""8"",""-14"",""-36"",""-58""]",0,0.0,0,1,"[""30"",""8"",""-14"",""-36"",""-58""]",0,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""30"",""8"",""-14"",""-36"",""-58""]",0,0.0,0,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1,1,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""30"",""8"",""-14"",""-36"",""-58""]",0,0.0,0,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1,1,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T04,training-b01,AFFINE,stress,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]","[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""-263918"",""-791761"",""1583516"",""-3167034"",""-9501109""]",0,0.0,0,1,"[""-263922"",""527842"",""1583519"",""-3167044"",""6334090""]",0,1,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""-263918"",""-791761"",""1583516"",""-3167034"",""-9501109""]",0,0.0,0,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1,1,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T05,training-b01,POLY,stress,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]","[""-6875"",""-11455"",""-17871"",""-26479"",""-37643""]",0,0.0,0,1,"[""-6875"",""-11455"",""-17871"",""-26479"",""-37643""]",0,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""-6875"",""-11518"",""-18194"",""-27490"",""-40070""]",0,0.0,0,1,"[""-3783"",""-6883"",""-11558"",""-18314"",""-27752""]",0,1,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29174""]",0,0.0,0,1,"[""-6883"",""-11566"",""-18354"",""-27864"",""-40816""]",0,1,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""-5719"",""-8787"",""-13382"",""-19986"",""-28631""]",0,0.0,0,1,"[""-5719"",""-8787"",""-13382"",""-19986"",""-28631""]",0,0,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""-6883"",""-11558"",""-18314"",""-27752"",""-38790""]",0,0.8,4,1,"[""-6883"",""-11558"",""-18314"",""-27752"",""-38790""]",0,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""-6867"",""-11478"",""-18074"",""-27192"",""-39456""]",0,0.0,0,1,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]",1,1,1,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T06,training-b01,LAGPOLY,stress,"[""-3"",""65"",""38"",""5"",""11""]","[""-3"",""65"",""38"",""5"",""11""]",1,1.0,5,1,"[""38"",""5"",""-3"",""65"",""59""]",0,1,0,1,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""-40"",""-37"",""32"",""5"",""-28""]",0,0.2,1,1,"[""-1"",""65"",""38"",""5"",""9""]",0,1,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""-3"",""65"",""38"",""5"",""11""]",1,1.0,5,1,"[""-3"",""65"",""38"",""5"",""11""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""5"",""-3"",""65"",""59"",""17""]",0,0.0,0,1,"[""-3"",""65"",""38"",""5"",""11""]",1,1,1,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""38"",""5"",""-3"",""65"",""59""]",0,0.0,0,1,"[""38"",""5"",""-3"",""65"",""59""]",0,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""-3"",""65"",""38"",""5"",""11""]",1,1.0,5,1,"[""-3"",""65"",""38"",""5"",""11""]",1,0,0,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T07,training-b01,POLY,hard,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]","[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T08,training-b01,MODAFFINE,very-hard,"[""43"",""61"",""63"",""8"",""65""]","[""31"",""3"",""58"",""31"",""20""]",0,0.0,0,1,"[""31"",""3"",""58"",""31"",""20""]",0,0,0,0,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""-12"",""-31"",""-8"",""-45"",""-24""]",0,0.0,0,1,"[""-80"",""40"",""-108"",""-542"",""-50""]",0,1,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""-23"",""70"",""42"",""84"",""61""]",0,0.0,0,1,"[""-23"",""70"",""42"",""84"",""61""]",0,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""41"",""6"",""35"",""59"",""61""]",0,0.0,0,1,"[""41"",""6"",""35"",""59"",""61""]",0,0,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""69"",""80"",""89"",""35"",""101""]",0,0.0,0,1,"[""69"",""80"",""89"",""35"",""101""]",0,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""18"",""41"",""57"",""34"",""49""]",0,0.0,0,1,"[""42"",""45"",""55"",""63"",""74""]",0,1,0,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T09,training-b01,PDELTA,very-hard,"[""-225"",""-253"",""-299"",""-332"",""-384""]","[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-265"",""-311"",""-339"",""-385""]",0,1,0,1,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""-225"",""-242"",""-299"",""-310"",""-384""]",0,0.6,3,1,"[""-202"",""-230"",""-276"",""-309"",""-361""]",0,1,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""-225"",""-253"",""-288"",""-321"",""-351""]",0,0.4,2,1,"[""-202"",""-230"",""-276"",""-309"",""-361""]",0,1,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-293"",""-321"",""-361""]",0,1,0,1,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
T10,training-b01,INTERLEAVE,very-hard,"[""44"",""56"",""10"",""-84"",""78""]","[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""-12"",""58"",""16"",""-62"",""104""]",0,1,0,1,search-g0-G-37B2621092D0-training-b01-judge,7,7,10,134565.0,30170.0,0.0,598932.0,"[""10"",""44"",""56"",""12"",""-84""]",0,0.0,0,1,"[""44"",""56"",""10"",""-84"",""78""]",1,1,1,0,search-g0-G-44EEB120C37E-training-b01-judge,7,7,10,135245.0,31838.0,0.0,650855.0,"[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""44"",""56"",""10"",""-84"",""78""]",1,0,0,0,search-g0-G-498E470E7808-training-b01-judge,9,9,10,126000.0,32703.0,0.0,638308.0,"[""8"",""44"",""56"",""10"",""-84""]",0,0.0,0,1,"[""44"",""56"",""10"",""108"",""73""]",0,1,0,0,search-g0-G-93B0BFCCF64A-training-b01-judge,9,9,10,125857.0,30556.0,0.0,607051.0,"[""10"",""44"",""56"",""12"",""108""]",0,0.0,0,1,"[""10"",""44"",""56"",""12"",""108""]",0,0,0,0,search-g0-G-A13267BCF63C-training-b01-judge,5,5,10,142108.0,25852.0,0.0,507461.0,"[""8"",""44"",""56"",""10"",""-84""]",0,0.0,0,1,"[""44"",""56"",""10"",""-84"",""78""]",1,1,1,0,search-g0-G-A51F73B64C32-training-b01-judge,7,7,10,136439.0,31602.0,0.0,620676.0
