lens_id,exact,cases,exact_accuracy,correct_terms,term_accuracy,research-b05,research-b06,mean_confidence,mean_latency_ms
modulus_equation,9,24,0.375,55,0.4583333333333333,5,4,0.5683333333333334,0.0
recurrence_exhaustive,9,24,0.375,54,0.45,7,2,0.48583333333333334,0.0
mdl_suffix_holdout,9,24,0.375,52,0.43333333333333335,7,2,0.6175,0.0
generalist,8,24,0.3333333333333333,57,0.475,6,2,0.7129166666666666,0.0
wildcard_compression,7,24,0.2916666666666667,53,0.44166666666666665,4,3,0.5929166666666666,0.0
full_difference_audit,7,24,0.2916666666666667,51,0.425,5,2,0.6375,0.0
lag_class_slow,7,24,0.2916666666666667,50,0.4166666666666667,3,4,0.6891666666666667,0.0
interwoven_stream_slow,7,24,0.2916666666666667,48,0.4,5,2,0.7424999999999999,0.0
phase_modular_table,7,24,0.2916666666666667,47,0.39166666666666666,5,2,0.56,0.0
periodic_delta_slow,7,24,0.2916666666666667,44,0.36666666666666664,5,2,0.6795833333333333,0.0
block_boundary_table,6,24,0.25,45,0.375,4,2,0.68125,0.0
internal_panel,6,24,0.25,38,0.31666666666666665,5,1,0.6695833333333333,0.0
hypothesis_tournament,5,24,0.20833333333333334,44,0.36666666666666664,3,2,0.64625,0.0
modular_affine_slow,5,24,0.20833333333333334,43,0.35833333333333334,4,1,0.5545833333333333,0.0
growing_block_slow,5,24,0.20833333333333334,35,0.2916666666666667,3,2,0.6158333333333333,0.0
