case_id,block_id,family,tier,unique_answers,correct_support,correct_support_rate,plurality_support,pooled_plurality_exact,oracle_exact,pooled_term_score
R073,research-b07,LIN2,very-hard,10,2,0.18181818181818182,2,True,True,5
R074,research-b07,AFFINE,very-hard,6,6,0.5454545454545454,6,True,True,5
R075,research-b07,AFFINE,stress,6,6,0.5454545454545454,6,True,True,5
R076,research-b07,POLY,very-hard,7,5,0.45454545454545453,5,True,True,5
R077,research-b07,PDELTA,very-hard,2,10,0.9090909090909091,10,True,True,5
R078,research-b07,PDELTA,hard,2,6,0.5454545454545454,6,True,True,5
R079,research-b07,POLY,hard,4,8,0.7272727272727273,8,True,True,5
R080,research-b07,PDELTA,stress,8,2,0.18181818181818182,3,False,True,0
R081,research-b07,AFFINE,hard,1,11,1.0,11,True,True,5
R082,research-b07,LIN2,hard,4,7,0.6363636363636364,7,True,True,5
R083,research-b07,LIN2,stress,3,9,0.8181818181818182,9,True,True,5
R084,research-b07,POLY,stress,8,4,0.36363636363636365,4,True,True,5
R085,research-b08,LAGPOLY,hard,2,10,0.9090909090909091,10,True,True,5
R086,research-b08,GROWBLOCK,hard,8,1,0.09090909090909091,4,False,True,4
R087,research-b08,LAGPOLY,stress,11,1,0.09090909090909091,1,False,True,0
R088,research-b08,MODAFFINE,hard,9,0,0.0,3,False,False,0
R089,research-b08,LAGPOLY,very-hard,9,3,0.2727272727272727,3,True,True,5
R090,research-b08,INTERLEAVE,very-hard,10,2,0.18181818181818182,2,True,True,5
R091,research-b08,GROWBLOCK,very-hard,5,2,0.18181818181818182,4,False,True,1
R092,research-b08,INTERLEAVE,stress,11,1,0.09090909090909091,1,True,True,5
R093,research-b08,INTERLEAVE,hard,4,8,0.7272727272727273,8,True,True,5
R094,research-b08,GROWBLOCK,stress,7,0,0.0,4,False,False,0
R095,research-b08,MODAFFINE,stress,11,0,0.0,1,False,False,0
R096,research-b08,MODAFFINE,very-hard,11,0,0.0,1,False,False,0
