lens_id,exact,cases,exact_accuracy,correct_terms,term_accuracy,research-b07,research-b08,mean_confidence,mean_latency_ms
hypothesis_tournament,14,24,0.5833333333333334,74,0.6166666666666667,10,4,0.6975,55463.5
internal_panel,13,24,0.5416666666666666,71,0.5916666666666667,9,4,0.7804166666666666,56737.0
periodic_delta_slow,11,24,0.4583333333333333,67,0.5583333333333333,8,3,0.7954166666666667,64021.0
interwoven_stream_slow,11,24,0.4583333333333333,66,0.55,9,2,0.7404166666666666,54838.75
recurrence_exhaustive,10,24,0.4166666666666667,59,0.49166666666666664,9,1,0.7045833333333333,55862.0
modulus_equation,8,24,0.3333333333333333,54,0.45,7,1,0.5966666666666667,63225.5
growing_block_slow,8,24,0.3333333333333333,51,0.425,4,4,0.6583333333333333,57765.75
mdl_suffix_holdout,8,24,0.3333333333333333,44,0.36666666666666664,5,3,0.6179166666666667,61873.75
wildcard_compression,7,24,0.2916666666666667,61,0.5083333333333333,5,2,0.7520833333333333,60392.75
generalist,7,24,0.2916666666666667,55,0.4583333333333333,5,2,0.6616666666666666,54556.25
lag_class_slow,7,24,0.2916666666666667,43,0.35833333333333334,5,2,0.62125,53605.25
