case_id,block_id,family,tier,unique_answers,correct_support,correct_support_rate,plurality_support,pooled_plurality_exact,oracle_exact,pooled_term_score
R121,research-b11,LIN2,stress,14,2,0.13333333333333333,2,True,True,5
R122,research-b11,AFFINE,very-hard,4,10,0.6666666666666666,10,True,True,5
R123,research-b11,LIN2,hard,14,2,0.13333333333333333,2,True,True,5
R124,research-b11,AFFINE,stress,10,6,0.4,6,True,True,5
R125,research-b11,POLY,stress,14,2,0.13333333333333333,2,True,True,5
R126,research-b11,POLY,very-hard,7,5,0.3333333333333333,5,True,True,5
R127,research-b11,PDELTA,hard,1,15,1.0,15,True,True,5
R128,research-b11,PDELTA,stress,10,3,0.2,3,False,True,0
R129,research-b11,AFFINE,hard,2,14,0.9333333333333333,14,True,True,5
R130,research-b11,LIN2,very-hard,15,1,0.06666666666666667,1,False,True,0
R131,research-b11,POLY,hard,1,15,1.0,15,True,True,5
R132,research-b11,PDELTA,very-hard,6,10,0.6666666666666666,10,True,True,5
R133,research-b12,GROWBLOCK,stress,9,4,0.26666666666666666,4,True,True,5
R134,research-b12,MODAFFINE,stress,15,0,0.0,1,False,False,0
R135,research-b12,INTERLEAVE,very-hard,13,2,0.13333333333333333,2,True,True,5
R136,research-b12,GROWBLOCK,very-hard,9,1,0.06666666666666667,4,False,True,0
R137,research-b12,GROWBLOCK,hard,10,3,0.2,3,True,True,5
R138,research-b12,MODAFFINE,very-hard,15,0,0.0,1,False,False,0
R139,research-b12,LAGPOLY,very-hard,13,3,0.2,3,True,True,5
R140,research-b12,LAGPOLY,stress,15,0,0.0,1,False,False,3
R141,research-b12,INTERLEAVE,hard,10,5,0.3333333333333333,5,True,True,5
R142,research-b12,INTERLEAVE,stress,15,0,0.0,1,False,False,0
R143,research-b12,LAGPOLY,hard,3,12,0.8,12,True,True,5
R144,research-b12,MODAFFINE,hard,15,0,0.0,1,False,False,0
