case_id,block_id,family,tier,unique_answers,correct_support,correct_support_rate,plurality_support,pooled_plurality_exact,oracle_exact,pooled_term_score
R001,research-b01,LIN2,hard,11,13,0.43333333333333335,13,True,True,5
R002,research-b01,AFFINE,hard,1,30,1.0,30,True,True,5
R003,research-b01,LIN2,stress,16,15,0.5,15,True,True,5
R004,research-b01,LIN2,very-hard,13,17,0.5666666666666667,17,True,True,5
R005,research-b01,AFFINE,stress,14,10,0.3333333333333333,10,True,True,5
R006,research-b01,AFFINE,very-hard,9,18,0.6,18,True,True,5
R007,research-b01,POLY,stress,13,15,0.5,15,True,True,5
R008,research-b01,PDELTA,hard,12,7,0.23333333333333334,7,True,True,5
R009,research-b01,PDELTA,stress,28,0,0.0,2,False,False,0
R010,research-b01,POLY,hard,6,21,0.7,21,True,True,5
R011,research-b01,POLY,very-hard,12,18,0.6,18,True,True,5
R012,research-b01,PDELTA,very-hard,22,8,0.26666666666666666,8,True,True,5
R013,research-b02,MODAFFINE,hard,23,0,0.0,8,False,False,0
R014,research-b02,LAGPOLY,very-hard,30,0,0.0,1,False,False,0
R015,research-b02,INTERLEAVE,very-hard,25,5,0.16666666666666666,5,True,True,5
R016,research-b02,GROWBLOCK,very-hard,30,0,0.0,1,False,False,2
R017,research-b02,LAGPOLY,hard,7,23,0.7666666666666667,23,True,True,5
R018,research-b02,INTERLEAVE,stress,30,0,0.0,1,False,False,0
R019,research-b02,MODAFFINE,stress,30,0,0.0,1,False,False,0
R020,research-b02,GROWBLOCK,stress,24,0,0.0,6,False,False,1
R021,research-b02,INTERLEAVE,hard,6,19,0.6333333333333333,19,True,True,5
R022,research-b02,LAGPOLY,stress,29,2,0.06666666666666667,2,True,True,5
R023,research-b02,GROWBLOCK,hard,24,2,0.06666666666666667,3,False,True,4
R024,research-b02,MODAFFINE,very-hard,30,0,0.0,1,False,False,0
