lens_id,exact,cases,exact_accuracy,correct_terms,term_accuracy,research-b01,research-b02,mean_confidence,mean_latency_ms
minimum_description,11,24,0.4583333333333333,62,0.5166666666666667,10,1,0.5754166666666667,67803.0
hypothesis_competition,11,24,0.4583333333333333,56,0.4666666666666667,8,3,0.5695833333333333,64001.0
block_cartographer,10,24,0.4166666666666667,64,0.5333333333333333,8,2,0.67875,66473.0
piecewise_blocks,10,24,0.4166666666666667,56,0.4666666666666667,8,2,0.6229166666666667,64142.0
periodic_increment,9,24,0.375,58,0.48333333333333334,9,0,0.6254166666666666,64520.5
arithmetic_auditor,9,24,0.375,55,0.4583333333333333,7,2,0.6570833333333334,74242.5
change_point,9,24,0.375,54,0.45,6,3,0.5858333333333333,62857.0
generative_simulator,8,24,0.3333333333333333,55,0.4583333333333333,5,3,0.6241666666666666,82130.5
subsequence_splitter,8,24,0.3333333333333333,48,0.4,7,1,0.5375,59582.0
generalist,8,24,0.3333333333333333,47,0.39166666666666666,6,2,0.49416666666666664,70070.0
lag_dependency,7,24,0.2916666666666667,54,0.45,5,2,0.5804166666666667,66414.0
state_machine,7,24,0.2916666666666667,53,0.44166666666666665,5,2,0.53125,66352.0
holdout_first,7,24,0.2916666666666667,52,0.43333333333333335,6,1,0.5333333333333333,67604.0
falsifier,7,24,0.2916666666666667,49,0.4083333333333333,5,2,0.5545833333333333,71400.0
compression_test,7,24,0.2916666666666667,48,0.4,6,1,0.5316666666666666,65914.0
modular_reasoner,7,24,0.2916666666666667,48,0.4,5,2,0.4970833333333333,67517.5
phase_detector,7,24,0.2916666666666667,48,0.4,6,1,0.6329166666666667,67359.0
sign_ratio_specialist,7,24,0.2916666666666667,46,0.38333333333333336,5,2,0.5745833333333333,69627.0
finite_differences,7,24,0.2916666666666667,44,0.36666666666666664,5,2,0.5729166666666666,61396.5
residual_modeler,7,24,0.2916666666666667,41,0.3416666666666667,5,2,0.5329166666666667,60448.5
recurrence_builder,7,24,0.2916666666666667,39,0.325,5,2,0.6425,71202.5
wildcard_inventor,7,24,0.2916666666666667,38,0.31666666666666665,5,2,0.54625,70122.5
minority_hunter,6,24,0.25,52,0.43333333333333335,4,2,0.5991666666666666,62768.5
conservative_forecaster,6,24,0.25,48,0.4,5,1,0.60375,71067.0
transformation_chain,6,24,0.25,43,0.35833333333333334,5,1,0.5258333333333334,63597.0
interleaving_specialist,6,24,0.25,41,0.3416666666666667,4,2,0.4633333333333333,59271.0
residue_classes,6,24,0.25,40,0.3333333333333333,4,2,0.5916666666666667,61691.0
backward_solver,6,24,0.25,38,0.31666666666666665,5,1,0.565,62416.5
reverse_sequence,5,24,0.20833333333333334,41,0.3416666666666667,4,1,0.55,66036.5
index_formula,5,24,0.20833333333333334,35,0.2916666666666667,4,1,0.5470833333333334,65765.5
