split,arm,method,case_id,replicate,predicted_1,predicted_2,predicted_3,prediction_count,shape_valid,expected_1,expected_2,expected_3,correct_terms,term_accuracy,exact_triplet,rule_score,confidence,calibration_score,rule,source
final,low,direct,F01,1,52507,390208,3194561,3,1,50521,353792,2702765,0,0.000000,0,0,0.0800,0.993600,a(n)=n·a(n−1)+the previous term's factorial-weighted correction,final-low-independent-r01
final,low,direct,F02,1,9224,32936,119012,3,1,9496,35696,140152,0,0.000000,0,0,0.1000,0.990000,linear recurrence with coefficients inferred from the prefix,final-low-independent-r01
final,low,direct,F03,1,8911,25335,72147,3,1,8953,25653,73789,0,0.000000,0,0,0.0800,0.993600,approximately tripling linear recurrence,final-low-independent-r01
final,low,direct,F04,1,2187,5795,15435,3,1,2188,5798,15511,0,0.000000,0,0,0.1000,0.990000,linear recurrence with exponentially growing correction,final-low-independent-r01
final,low,direct,F05,1,2521146,5104291,10338772,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.0500,0.997500,piecewise polynomial recurrence,final-low-independent-r01
final,low,direct,F06,1,115030868,1380370385,17944815042,3,1,115030808,1380369733,17944806488,0,0.000000,0,1,0.9600,0.078400,a(n)=n·a(n−1)+(-1)^n times the nth prime,final-low-independent-r01
final,low,direct,F07,1,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,odd positions are Catalan numbers; even positions are powers of 3,final-low-independent-r01
final,low,direct,F08,1,261625,788970,2375101,3,1,261625,788970,2375101,3,1.000000,1,0,0.9500,0.997500,successive differences satisfy d(n)=3d(n−1)+2^(n−1),final-low-independent-r01
final,low,direct,F09,1,164199,260197,399999,3,1,161082,248869,371334,0,0.000000,0,0,0.1200,0.985600,fifth-degree polynomial-like growth,final-low-independent-r01
final,low,direct,F10,1,26464,33856,42624,3,1,28296,37557,48205,0,0.000000,0,0,0.1500,0.977500,polynomial recurrence with increasing second differences,final-low-independent-r01
final,low,direct,F11,1,14482,29071,58344,3,1,14506,29157,58482,0,0.000000,0,0,0.2000,0.960000,doubling recurrence with alternating quadratic correction,final-low-independent-r01
final,low,direct,F12,1,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,0,0.9900,0.999900,a(n)=n^(n−2),final-low-independent-r01
final,low,direct,F01,2,48639,329812,2457241,3,1,50521,353792,2702765,0,0.000000,0,0,0.1200,0.985600,Recurrence a(n)=n*a(n-1)+sum_{k=1}^{n-1} a(k),final-low-independent-r02
final,low,direct,F02,2,8950,30700,106000,3,1,9496,35696,140152,0,0.000000,0,0,0.0800,0.993600,Linear recurrence with slowly growing inhomogeneous correction,final-low-independent-r02
final,low,direct,F03,2,8923,25483,72931,3,1,8953,25653,73789,0,0.000000,0,0,0.1000,0.990000,Alternating near-tripling recurrence,final-low-independent-r02
final,low,direct,F04,2,2187,5791,15443,3,1,2188,5798,15511,0,0.000000,0,0,0.1100,0.987900,Second-order recurrence with near-2.6 growth,final-low-independent-r02
final,low,direct,F05,2,2973640,7218183,17533722,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.0500,0.997500,Piecewise polynomial-exponential recurrence,final-low-independent-r02
final,low,direct,F06,2,115031848,1380382177,17944968298,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.0700,0.995100,Multiplication by the index with increasing correction,final-low-independent-r02
final,low,direct,F07,2,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,Odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r02
final,low,direct,F08,2,261901,790626,2386489,3,1,261625,788970,2375101,0,0.000000,0,0,0.0900,0.991900,Linear recurrence with dominant ratio near 3,final-low-independent-r02
final,low,direct,F09,2,151584,217827,298624,3,1,161082,248869,371334,0,0.000000,0,0,0.1400,0.980400,Polynomial growth with increasing finite differences,final-low-independent-r02
final,low,direct,F10,2,28296,37557,48205,3,1,28296,37557,48205,3,1.000000,1,0,0.4800,0.729600,Each difference is the cube of successive composite integers,final-low-independent-r02
final,low,direct,F11,2,14488,29083,58274,3,1,14506,29157,58482,0,0.000000,0,0,0.0900,0.991900,Near-doubling recurrence with growing correction,final-low-independent-r02
final,low,direct,F12,2,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,0.9800,0.999600,"From the third term onward, the nth term is n^(n-2)",final-low-independent-r02
final,low,direct,F01,3,51521,386593,3212569,3,1,50521,353792,2702765,0,0.000000,0,0,0.5200,0.729600,a(n)=n! times the nth partial sum of 1/k!,final-low-independent-r03
final,low,direct,F02,3,9244,33476,123780,3,1,9496,35696,140152,0,0.000000,0,0,0.3800,0.855600,a(n)=2a(n-1)+2a(n-2)+a(n-3),final-low-independent-r03
final,low,direct,F03,3,8931,25507,72907,3,1,8953,25653,73789,0,0.000000,0,0,0.3100,0.903900,a(n)=3a(n-1)-2a(n-2)+2a(n-3),final-low-independent-r03
final,low,direct,F04,3,2181,5731,15179,3,1,2188,5798,15511,0,0.000000,0,0,0.3500,0.877500,a(n)=3a(n-1)-a(n-2)+(-1)^n,final-low-independent-r03
final,low,direct,F05,3,2563110,5327287,11070252,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.1800,0.967600,a(n)=2a(n-1)+2^n+(-1)^n n!,final-low-independent-r03
final,low,direct,F06,3,115030843,1380370207,17944812691,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.2400,0.942400,a(n)=n a(n-1)+n!+(-1)^n,final-low-independent-r03
final,low,direct,F07,3,42,729,132,4,0,42,729,132,3,1.000000,0,0,1.0000,0.000000,Odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r03
final,low,direct,F08,3,261781,789930,2377741,3,1,261625,788970,2375101,0,0.000000,0,0,0.2700,0.927100,a(n)=3a(n-1)-3a(n-2)+a(n-3)+2^n,final-low-independent-r03
final,low,direct,F09,3,148483,207831,283491,3,1,161082,248869,371334,0,0.000000,0,0,0.2100,0.955900,a(n)=n^5+n^3-n^2+1,final-low-independent-r03
final,low,direct,F10,3,25793,32449,39817,3,1,28296,37557,48205,0,0.000000,0,0,0.2900,0.915900,a(n)=a(n-1)+2n^3-5n^2+7n-3,final-low-independent-r03
final,low,direct,F11,3,14484,29069,58262,3,1,14506,29157,58482,0,0.000000,0,0,0.3300,0.891100,a(n)=2a(n-1)+2^{n-1}+(-1)^n,final-low-independent-r03
final,low,direct,F12,3,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,1.0000,1.000000,a(n)=n^(n-2),final-low-independent-r03
final,low,direct,F01,4,47805,322957,2395027,3,1,50521,353792,2702765,0,0.000000,0,0,0.0800,0.993600,a(n)=n·a(n−1)+sum_{k=1}^{n−1} k!,final-low-independent-r04
final,low,direct,F02,4,9280,33784,125312,3,1,9496,35696,140152,0,0.000000,0,0,0.1200,0.985600,Linear recurrence with compact integer coefficients fitted to the prefix,final-low-independent-r04
final,low,direct,F03,4,7385,17909,43203,3,1,8953,25653,73789,0,0.000000,0,0,0.9900,0.019900,a(n)=2a(n−1)+a(n−2),final-low-independent-r04
final,low,direct,F04,4,2195,5811,15403,3,1,2188,5798,15511,0,0.000000,0,0,0.1800,0.967600,Second-order near-tripling recurrence,final-low-independent-r04
final,low,direct,F05,4,2784234,6201563,13811762,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.0700,0.995100,Piecewise polynomial recurrence suggested by successive differences,final-low-independent-r04
final,low,direct,F06,4,115030850,1380370207,17944812691,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.1000,0.990000,Multiplicative recurrence with growing integer multiplier,final-low-independent-r04
final,low,direct,F07,4,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,Odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r04
final,low,direct,F08,4,260941,784866,2359393,3,1,261625,788970,2375101,0,0.000000,0,0,0.1500,0.977500,Approximately tripling recurrence with exponentially growing correction,final-low-independent-r04
final,low,direct,F09,4,159981,241135,345511,3,1,161082,248869,371334,0,0.000000,0,0,0.2000,0.960000,Polynomial-growth sequence with increasing finite differences,final-low-independent-r04
final,low,direct,F10,4,24971,30871,38752,3,1,28296,37557,48205,0,0.000000,0,0,0.3500,0.877500,Successive differences are selected cubes,final-low-independent-r04
final,low,direct,F11,4,14498,29099,58306,3,1,14506,29157,58482,0,0.000000,0,0,0.1300,0.983100,Approximately doubling recurrence with increasing correction,final-low-independent-r04
